location,start_date,end_date,description,USA for sure,timestamp
Cleveland,8/9/2014,8/16/2014,2014 Gay Games,1,20140625131713
Key West,8/14/2014,8/17/2014,Tropical Heat,1,20140625131713
New York,8/15/2014,8/17/2014,Ascension Fire Island,1,20140625131713
Provincetown,8/16/2014,8/22/2014,Carnival,1,20140625131713
Black Rock Desert,8/25/2014,9/1/2014,Burning man,1,20140625131713
New Orleans,8/27/2014,9/1/2014,Southern Decadence,1,20140625131713
Austin,8/30/2014,9/1/2014,Splash Days,1,20140625131713
San Francisco,8/31/2014,8/31/2014,Oakland Gay Pride,1,20140625131713
Las Vegas,9/2/2014,9/8/2014,Gay Days Las Vegas,1,20140625131713
Las Vegas,9/5/2014,9/6/2014,Las Vegas Pride,1,20140625131713
Miami,9/11/2014,9/15/2014,Kiki Cruise,1,20140625131713
Austin,9/20/2014,9/20/2014,Austin Gay Pride,1,20140625131713
Dallas,9/21/2014,9/21/2014,Dallas Gay Pride,1,20140625131713
San Francisco,9/21/2014,9/21/2014,Folsom Street Fair,1,20140625131713
Orlando,9/25/2014,9/28/2014,Bear Bash,1,20140625131713
Orlando,9/29/2014,10/5/2014,Orlando Pride,1,20140625131713
Los Angeles,10/3/2014,10/5/2014,Gay Days Anaheim,1,20140625131713
Los Angeles,10/5/2014,10/13/2014,Atlantis LA Mexico gay cruise,1,20140625131713
Atlanta,10/11/2014,10/12/2014,Atlanta Pride,1,20140625131713
Oceanside,10/11/2014,10/11/2014,Pride @ the beach,1,20140625131713
New Orleans,10/23/2014,10/26/2014,Halloween,1,20140625131713
Los Angeles,10/31/2014,10/31/2014,Gay Halloween Streetparty,1,20140625131713
Palm Springs,11/8/2014,11/9/2014,Greater Palm Springs Pride,1,20140625131713
Tampa,11/23/2014,11/30/2014,Olivia Lesbian Cruise,1,20141111033426
Miami,11/26/2014,12/1/2014,White Party Week,1,20141111033426
Las Vegas,12/30/2014,1/1/2015,Evolve Vegas NYE,1,20141111033426
Aspen,1/11/2015,1/18/2015,Gay and Lesbian Ski Week,1,20141111033426
Washington D.C,1/16/2015,1/19/2015,Mid Atlantic Leather Weekend,1,20141111033426
Las Vegas,1/18/2015,1/18/2015,Hustlaball Las Vegas,1,20141111033426
Fort Lauderdale,2/1/2015,2/8/2015,Atlantis Caribbean all gay cruise,1,20150206071059
